fname,label_verified
003b91e8.wav,4
00c9e799.wav,15
00ce569f.wav,0
013c3135.wav,7
018863f5.wav,29
02274ee8.wav,28
02d7fba3.wav,29
0429828b.wav,31
0447d04d.wav,12
05ecefbe.wav,39
0640c787.wav,37
07f6b1dc.wav,4
082321d2.wav,4
0be52cd7.wav,21
0c9abd6a.wav,10
0cafd32f.wav,32
0cb7fc83.wav,26
0cbfebc7.wav,12
0cea4550.wav,7
0ded93ce.wav,32
0e89fb66.wav,5
0fb464cf.wav,37
0fcdc341.wav,22
102ef2c7.wav,15
10734a58.wav,28
10cf0a2c.wav,4
11782c39.wav,40
12323e04.wav,17
125e64b7.wav,5
1314cdad.wav,21
13f08982.wav,28
14683a1c.wav,37
14c22798.wav,32
14d06c29.wav,15
14e27632.wav,5
1549bbaf.wav,7
156dd4a7.wav,15
15703034.wav,10
161bd007.wav,19
1726fa04.wav,5
172d7f14.wav,33
184ca1c7.wav,33
186311f0.wav,32
195691e2.wav,10
19d4a6ad.wav,25
1a132a81.wav,11
1b3b537f.wav,5
1c0d5682.wav,26
1c3b4067.wav,37
1cd6919e.wav,5
1d23c74b.wav,29
1ff2689f.wav,38
202b6258.wav,4
2070133c.wav,1
20f13d88.wav,37
212463da.wav,15
218f3cc6.wav,37
21909da5.wav,9
21c442db.wav,32
21fbdc6d.wav,5
22ab9809.wav,15
22ae7fbf.wav,13
23226fdd.wav,14
2372eeb4.wav,12
23c11bee.wav,37
24791b50.wav,4
24a3c430.wav,28
24e8a804.wav,19
25511eb8.wav,25
26928361.wav,4
26a9e392.wav,37
26d8b402.wav,28
271f6198.wav,1
275b9330.wav,7
2846dc18.wav,17
28f5dfd6.wav,29
2939852d.wav,7
2979f92a.wav,7
2b1ed909.wav,16
2b6f431f.wav,12
2c81e1ce.wav,37
2ccaafbb.wav,28
2cd3efb6.wav,37
2d88dcef.wav,21
2e10afe3.wav,14
3078e97f.wav,7
31886d2a.wav,4
318f5562.wav,21
326c9e9a.wav,26
