fname,label_verified
00326aa9.wav,Oboe
003b91e8.wav,Cello
0075d39c.wav,Keys_jangling
008afd93.wav,Saxophone
00a161c0.wav,Cello
00ad7068.wav,Laughter
00c9e799.wav,Oboe
00ccf065.wav,Bass_drum
00ce569f.wav,Hi-hat
00d0ab77.wav,Clarinet
00d1fe46.wav,Cough
00d9fa61.wav,Flute
00dffe3a.wav,Bass_drum
00e33205.wav,Clarinet
00fbb28b.wav,Chime
0102a895.wav,Cello
0120d246.wav,Bus
013c3135.wav,Clarinet
01506d76.wav,Scissors
015cf474.wav,Clarinet
01608fa3.wav,Bass_drum
016e52da.wav,Flute
017ea24e.wav,Burping_or_eructation
0184c390.wav,Cello
018863f5.wav,Double_bass
018a10bb.wav,Double_bass
01a36643.wav,Tambourine
01a5dc85.wav,Double_bass
01bede12.wav,Trumpet
01eccb6e.wav,Clarinet
01f29edb.wav,Flute
02274ee8.wav,Burping_or_eructation
0236dccb.wav,Cowbell
023e7db3.wav,Flute
023eab1f.wav,Double_bass
02482fdc.wav,Acoustic_guitar
0259e5d2.wav,Hi-hat
0266774c.wav,Cowbell
02697329.wav,Bass_drum
02c3af87.wav,Trumpet
02d5dc55.wav,Bass_drum
02d7fba3.wav,Double_bass
02df943b.wav,Bass_drum
02f8d82c.wav,Trumpet
02f8e94d.wav,Clarinet
032f7280.wav,Drawer_open_or_close
0345130c.wav,Trumpet
034b1b41.wav,Flute
034c1c69.wav,Flute
03586ad9.wav,Cowbell
03657d6d.wav,Shatter
0381efd3.wav,Double_bass
0394e0d4.wav,Hi-hat
0395ba61.wav,Oboe
03bc8fbc.wav,Shatter
03cd971f.wav,Cowbell
03e860b2.wav,Trumpet
03e88255.wav,Electric_piano
03e9765d.wav,Drawer_open_or_close
03ed9ba8.wav,Oboe
03f2e21f.wav,Cello
03f38c68.wav,Hi-hat
04154da3.wav,Bass_drum
0419676b.wav,Clarinet
041c7581.wav,Cello
0429828b.wav,Fireworks
0447d04d.wav,Laughter
0448c553.wav,Bass_drum
0450e72b.wav,Oboe
0459ee65.wav,Clarinet
048fb352.wav,Applause
04ab46a9.wav,Cello
04ab4e22.wav,Tambourine
04bdae57.wav,Hi-hat
04cce777.wav,Burping_or_eructation
04d0cae4.wav,Knock
04d15abd.wav,Trumpet
04d33fe7.wav,Shatter
04dbef05.wav,Cello
04dddbf5.wav,Bass_drum
04ed8568.wav,Bass_drum
0508f1e3.wav,Double_bass
05296d2a.wav,Clarinet
05309a38.wav,Snare_drum
053a5fc6.wav,Hi-hat
054508f3.wav,Bass_drum
05562991.wav,Flute
057c2963.wav,Clarinet
058e63ea.wav,Tambourine
059d5420.wav,Saxophone
05d0dfa7.wav,Oboe
05ecefbe.wav,Violin_or_fiddle
05fca090.wav,Flute
06006fca.wav,Knock
061cf689.wav,Trumpet
0627acfa.wav,Cello
062c3119.wav,Clarinet
06308a6b.wav,Cello
063d81f8.wav,Clarinet
0640c787.wav,Applause
064cfad3.wav,Clarinet
065e7bb4.wav,Computer_keyboard
0671a98a.wav,Trumpet
0678a571.wav,Trumpet
067d6a04.wav,Flute
06827666.wav,Acoustic_guitar
069b1efa.wav,Flute
06a76756.wav,Snare_drum
06d164df.wav,Clarinet
06e15d8e.wav,Bass_drum
06fd1973.wav,Hi-hat
07036b1d.wav,Snare_drum
070f52cb.wav,Cello
0722054b.wav,Clarinet
0730a3d8.wav,Acoustic_guitar
0745def5.wav,Acoustic_guitar
07605b4c.wav,Bark
0761d26b.wav,Applause
07682400.wav,Oboe
076d3b6c.wav,Trumpet
07764530.wav,Oboe
0776b083.wav,Hi-hat
07776603.wav,Trumpet
079367a7.wav,Flute
