fname,label_verified
00ad7068.wav,12
00c9e799.wav,15
0120d246.wav,22
02274ee8.wav,28
0236dccb.wav,33
0266774c.wav,33
02d7fba3.wav,29
03657d6d.wav,30
0395ba61.wav,15
03e88255.wav,34
03ed9ba8.wav,15
0429828b.wav,31
04490642.wav,22
0450e72b.wav,15
048fb352.wav,37
05309a38.wav,10
05d0dfa7.wav,15
06006fca.wav,5
0640c787.wav,37
064cfad3.wav,7
06a76756.wav,10
07605b4c.wav,19
07764530.wav,15
079bb1c3.wav,15
0879e568.wav,1
090ea106.wav,32
096b4d70.wav,9
09841f13.wav,30
0af32053.wav,15
0aff3cde.wav,21
0be246ba.wav,29
0be52cd7.wav,21
0bfdf35b.wav,30
0c118aaa.wav,34
0c4948ba.wav,9
0c6ec89a.wav,15
0c9abd6a.wav,10
0cafd32f.wav,32
0cb7fc83.wav,26
0cbfebc7.wav,12
0cc4c3b7.wav,40
0ccf0903.wav,3
0cea4550.wav,7
0d3d36f5.wav,10
0ded93ce.wav,32
0e544eb8.wav,15
0e630318.wav,10
0e89fb66.wav,5
0ec012fc.wav,12
0fb464cf.wav,37
102ef2c7.wav,15
1068cb59.wav,11
10734a58.wav,28
11223bbf.wav,15
11782c39.wav,40
11c7778f.wav,28
11d9ace9.wav,26
12169b86.wav,15
121749b9.wav,21
122b0e88.wav,10
12323e04.wav,17
125e64b7.wav,5
12a650a4.wav,14
12d3cdd8.wav,10
1314cdad.wav,21
14683a1c.wav,37
148a199b.wav,32
14c22798.wav,32
14d06c29.wav,15
14d18455.wav,40
14e27632.wav,5
14fc31e9.wav,15
1548d94a.wav,28
156dd4a7.wav,15
15703034.wav,10
15b6657d.wav,0
15cc274e.wav,7
16127914.wav,0
161bd007.wav,19
161eeade.wav,15
166a1279.wav,14
16eeb46e.wav,33
172d7f14.wav,33
1775d5a0.wav,12
184ca1c7.wav,33
186311f0.wav,32
18ea8f49.wav,10
19341f36.wav,0
195691e2.wav,10
19bc0dbe.wav,15
19d4a6ad.wav,25
19ec978d.wav,26
1a132a81.wav,11
1a86eff7.wav,17
1c0d5682.wav,26
1c133d0e.wav,21
1c3b4067.wav,37
1cd6919e.wav,5
1ce38807.wav,1
1d23c74b.wav,29
1e66d094.wav,15
1f946a29.wav,26
1f9b86a0.wav,17
20f13d88.wav,37
210f2580.wav,5
212463da.wav,15
213afdbf.wav,15
2155e5e5.wav,15
218f3cc6.wav,37
21909da5.wav,9
21c442db.wav,32
21c8a350.wav,3
21d75a3d.wav,15
21fbdc6d.wav,5
22007c10.wav,5
220a73b7.wav,29
221ee272.wav,30
229d104f.wav,32
22ab9809.wav,15
22ae7fbf.wav,13
23226fdd.wav,14
2372eeb4.wav,12
23c11bee.wav,37
23fb24e8.wav,33
240590c8.wav,30
24779e2d.wav,17
24791b50.wav,4
24f68344.wav,30
259c3671.wav,32
25a3f8ba.wav,10
25c11b5d.wav,5
25c89ec0.wav,30
26a9e392.wav,37
26b82ff7.wav,40
26d8b402.wav,28
2722c835.wav,15
273f7c4a.wav,32
289e8e59.wav,26
28f3b63c.wav,33
28f5dfd6.wav,29
2939852d.wav,7
2979f92a.wav,7
2987ab41.wav,26
29f2ff7d.wav,15
2a5dd0de.wav,15
2accbe0b.wav,15
2b1ed909.wav,16
