id,value
id_0,39.785328
id_1,19.57626
id_2,10.762746
id_3,23.81444
id_4,24.73053
id_5,59.62011
id_6,35.787533
id_7,31.691591
id_8,52.170544
id_9,16.746693
id_10,20.66329
id_11,44.833534
id_12,47.945152
id_13,16.595798
id_14,26.120594
id_15,52.172287
id_16,40.78535
id_17,58.595123
id_18,24.320597
id_19,11.817648
id_20,23.87263
id_21,32.458538
id_22,49.691895
id_23,54.708344
id_24,22.427513
id_25,10.314532
id_26,41.914604
id_27,38.68077
id_28,61.22915
id_29,16.839827
id_30,18.867752
id_31,50.55267
id_32,41.856243
id_33,18.66004
id_34,60.28267
id_35,35.96605
id_36,15.975037
id_37,52.217045
id_38,25.924728
id_39,6.5854683
id_40,27.976063
id_41,9.6486225
id_42,46.773895
id_43,26.285519
id_44,47.166077
id_45,44.306816
id_46,39.574883
id_47,25.09891
id_48,26.095673
id_49,60.494293
id_50,24.837648
id_51,30.614359
id_52,20.572384
id_53,24.60337
id_54,20.146997
id_55,27.17427
id_56,45.297512
id_57,21.621704
id_58,20.52558
id_59,13.587646
id_60,45.129288
id_61,27.12951
id_62,27.168934
id_63,25.899334
id_64,16.352524
id_65,32.265747
id_66,33.24785
id_67,17.671741
id_68,40.13224
id_69,12.669141
id_70,19.001467
id_71,14.693591
id_72,21.540642
id_73,21.987705
id_74,61.87639
id_75,58.27547
id_76,4.46278
id_77,35.761635
id_78,49.652878
id_79,34.81622
id_80,65.81932
id_81,26.853111
id_82,13.866417
id_83,21.752457
id_84,10.3285055
id_85,14.422987
id_86,33.90937
id_87,23.868328
id_88,27.73656
id_89,59.907013
id_90,18.11404
id_91,60.34469
id_92,55.097992
id_93,11.831647
id_94,20.099691
id_95,21.375504
id_96,20.411438
id_97,7.8484516
id_98,18.989761
id_99,34.51639
id_100,25.15614
id_101,46.93628
id_102,38.064285
id_103,28.005383
id_104,39.858475
id_105,33.32641
id_106,21.027277
id_107,42.26705
id_108,12.883968
id_109,70.39869
id_110,28.72166
id_111,55.513466
id_112,20.517738
id_113,26.735428
id_114,25.971296
id_115,34.133347
id_116,49.88091
id_117,26.828192
id_118,31.428318
id_119,40.189312
id_120,26.351528
id_121,39.05081
id_122,59.445065
id_123,9.9456625
id_124,31.935356
id_125,8.926674
id_126,39.528294
id_127,20.741928
id_128,26.546982
id_129,56.885414
id_130,11.942436
id_131,58.961784
id_132,23.12739
id_133,14.425081
id_134,20.629925
id_135,32.033638
id_136,65.93737
id_137,37.8356
id_138,22.290588
id_139,59.94242
id_140,60.15303
id_141,15.970842
id_142,33.167515
id_143,37.94014
id_144,33.185555
id_145,15.116743
id_146,38.97577
id_147,50.494522
id_148,32.731976
id_149,16.900703
id_150,61.49946
id_151,29.860277
id_152,58.223618
id_153,25.18061
id_154,15.216298
id_155,69.09165
id_156,16.274052
id_157,22.761307
id_158,47.154408
id_159,19.570421
id_160,15.226996
id_161,42.9076
id_162,52.99157
id_163,27.747416
id_164,43.15053
id_165,37.42681
id_166,42.70074
id_167,57.737225
id_168,15.789552
id_169,19.686094
id_170,29.249542
id_171,29.077833
id_172,22.137304
id_173,45.189087
id_174,39.93365
id_175,53.690266
id_176,18.382544
id_177,21.449545
id_178,53.042557
id_179,27.674124
id_180,18.294846
id_181,27.858162
id_182,20.493402
id_183,47.482674
id_184,14.677188
id_185,37.79989
id_186,39.12345
id_187,47.548996
id_188,67.66702
id_189,42.67833
id_190,12.637615
id_191,19.787228
id_192,19.58508
id_193,41.34355
id_194,22.020424
id_195,17.065514
id_196,15.839076
id_197,15.459126
id_198,21.716938
id_199,13.070907
id_200,12.781077
id_201,28.374704
id_202,16.592121
id_203,50.76422
id_204,10.048267
id_205,21.142355
id_206,61.28759
id_207,48.81511
id_208,17.560364
id_209,24.514936
id_210,41.998295
id_211,23.931313
id_212,28.299366
id_213,14.073687
id_214,15.065562
id_215,6.8739777
id_216,60.173843
id_217,12.133285
id_218,39.86471
id_219,23.868328
id_220,50.179943
id_221,25.005507
id_222,39.55175
id_223,53.99572
id_224,27.947895
id_225,21.621975
id_226,14.357634
id_227,45.4527
id_228,36.234222
id_229,27.28306
id_230,15.545809
id_231,39.974613
id_232,7.072262
id_233,27.741144
id_234,59.421913
id_235,24.733925
id_236,19.830084
id_237,13.03595
id_238,25.572111
id_239,32.460854
id_240,17.751957
id_241,60.31614
id_242,35.850754
id_243,26.807882
id_244,60.25878
id_245,31.176304
id_246,46.42836
id_247,39.47611
id_248,23.481379
id_249,11.583895
id_250,15.502598
id_251,36.59698
id_252,15.517093
id_253,32.27633
id_254,24.898813
id_255,35.220573
id_256,48.763214
id_257,10.32103
id_258,34.602886
id_259,43.06475
