fname,label_verified
00c9e799.wav,15
0120d246.wav,22
013c3135.wav,7
01506d76.wav,24
017ea24e.wav,28
018863f5.wav,29
018a10bb.wav,29
02274ee8.wav,28
0231b9f3.wav,34
0236dccb.wav,33
0259e5d2.wav,0
0266774c.wav,33
02c9a1f1.wav,11
02d7fba3.wav,29
03e88255.wav,34
05309a38.wav,10
05d0dfa7.wav,15
05ecefbe.wav,39
0640c787.wav,37
065e7bb4.wav,8
06a76756.wav,10
07764530.wav,15
079bb1c3.wav,15
07a99531.wav,15
0879e568.wav,1
090ea106.wav,32
0af32053.wav,15
0aff3cde.wav,21
0b142b38.wav,17
0be246ba.wav,29
0c9abd6a.wav,10
0cafd32f.wav,32
0cb7fc83.wav,26
0cbfebc7.wav,12
0cc4c3b7.wav,40
0ccf0903.wav,3
0cea4550.wav,7
0ded93ce.wav,32
0e19ed55.wav,33
0e544eb8.wav,15
0e630318.wav,10
0ea3dbaf.wav,1
0ec012fc.wav,12
0fb464cf.wav,37
0ff4262d.wav,10
102ef2c7.wav,15
10884a97.wav,29
11223bbf.wav,15
11782c39.wav,40
11c7778f.wav,28
11cf5942.wav,19
11d93cd3.wav,36
11df4777.wav,15
122b0e88.wav,10
12323e04.wav,17
12a650a4.wav,14
12d3cdd8.wav,10
1314cdad.wav,21
1365348d.wav,14
1397ddc8.wav,25
13ca1116.wav,15
13f08982.wav,28
14683a1c.wav,37
148a199b.wav,32
14c22798.wav,32
14d06c29.wav,15
14e27632.wav,5
14fc31e9.wav,15
1549bbaf.wav,7
156dd4a7.wav,15
15703034.wav,10
15d798df.wav,21
15d88b9d.wav,22
161bd007.wav,19
172d7f14.wav,33
1787f4e8.wav,34
184ca1c7.wav,33
186311f0.wav,32
195691e2.wav,10
1967e2b2.wav,37
199b1adf.wav,4
19a1f537.wav,29
19bc0dbe.wav,15
19ec978d.wav,26
1a132a81.wav,11
1a7af185.wav,10
1c0d5682.wav,26
1c133d0e.wav,21
1c3b4067.wav,37
1cd6919e.wav,5
1d23c74b.wav,29
1dbc08fd.wav,23
1df13521.wav,26
1e5fd361.wav,19
1e66d094.wav,15
1f946a29.wav,26
1f9b86a0.wav,17
202b6258.wav,4
20f13d88.wav,37
210f2580.wav,5
213afdbf.wav,15
2155e5e5.wav,15
218f3cc6.wav,37
21c442db.wav,32
21c8a350.wav,3
21d75a3d.wav,15
21fbdc6d.wav,5
22007c10.wav,5
22349b32.wav,6
22ab9809.wav,15
22ae7fbf.wav,13
22cc1654.wav,36
23fb24e8.wav,33
240590c8.wav,30
24a3c430.wav,28
253351f1.wav,21
25511eb8.wav,25
25c11b5d.wav,5
25c89ec0.wav,30
266f287c.wav,15
26928361.wav,4
26a9e392.wav,37
26b82ff7.wav,40
26d8b402.wav,28
271f6198.wav,1
2846dc18.wav,17
288821ab.wav,22
28a9502f.wav,28
28f3b63c.wav,33
28f5dfd6.wav,29
29076655.wav,17
290976f9.wav,16
2933c90e.wav,10
2939852d.wav,7
2979f92a.wav,7
297e7f77.wav,10
29f2ff7d.wav,15
2a5dd0de.wav,15
2af5749f.wav,4
2b4524a7.wav,34
2b6f431f.wav,12
2c81e1ce.wav,37
2ccaafbb.wav,28
2cd3efb6.wav,37
2d1a30c9.wav,21
2d88dcef.wav,21
2e2f1a7e.wav,29
2eb83a0b.wav,4
3031e1b1.wav,26
306fd57d.wav,20
30b7b4e4.wav,1
30cf8557.wav,15
30e59ebe.wav,21
318f5562.wav,21
319a7b44.wav,15
320aff97.wav,15
326c9e9a.wav,26
3272e576.wav,1
327fea32.wav,19
32880ae6.wav,5
32bbf20f.wav,33
32c2eb1b.wav,37
3300aae9.wav,29
33c062e8.wav,21
33d24d85.wav,10
33f31906.wav,15
33f89f08.wav,20
34042ed2.wav,15
34b2a4f7.wav,10
34bb94e8.wav,14
3505e582.wav,7
352875e7.wav,5
3564bae2.wav,29
3601d225.wav,34
363c41b3.wav,21
3679b950.wav,10
368b7628.wav,10
36967fb1.wav,31
3731f5d2.wav,33
376dab91.wav,10
3788e6ce.wav,33
37ac629d.wav,33
3846f2fa.wav,29
386b8fc7.wav,22
38852ae1.wav,37
38cb633d.wav,33
38d2e014.wav,14
38e16501.wav,10
390de47b.wav,21
39b0f258.wav,33
39d69471.wav,5
39ec9cc6.wav,37
3a89d0e3.wav,8
3a90abf3.wav,37
3b577ca2.wav,10
3b842547.wav,7
3bcb442a.wav,26
3bfb1c63.wav,29
3c32e5d3.wav,12
3c4631c7.wav,15
3c68cd4b.wav,26
3e70496c.wav,21
3e7b6f14.wav,32
3ecef0f4.wav,37
3f3f7481.wav,19
3fac24bb.wav,15
405b6af2.wav,19
410b8cc3.wav,19
412b75e6.wav,24
413d90c2.wav,25
41c4751e.wav,15
4286d72e.wav,33
42a718ea.wav,5
43671f8b.wav,12
436afb11.wav,0
43a84fec.wav,37
43f58abe.wav,26
43ff8df2.wav,15
4430e0ee.wav,33
44e26366.wav,33
455aee34.wav,11
4590ba37.wav,37
461558c3.wav,29
464c651e.wav,35
467953c6.wav,29
477622b6.wav,37
47961d9f.wav,5
47eafd0d.wav,1
4815fac2.wav,14
48cfca3e.wav,37
48ffd19b.wav,4
491b140e.wav,8
49223304.wav,29
499d9668.wav,15
49ee90a9.wav,29
49f6b68a.wav,32
4af35d0d.wav,15
4af8ad50.wav,14
4afc5a71.wav,29
4b166997.wav,35
4b2ef8c7.wav,25
4b9aadda.wav,26
4bd7faba.wav,29
4c5e41ef.wav,17
4cbc1a15.wav,21
4ce14aa2.wav,29
4d08546b.wav,5
4d2c6692.wav,7
4d596bea.wav,21
4d740ed8.wav,5
4dd5b189.wav,33
4df7f919.wav,40
4dfdad9e.wav,26
4e11d778.wav,21
4e82d86d.wav,7
4fed9012.wav,28
50556530.wav,13
512355a9.wav,34
51723a64.wav,33
519b068d.wav,19
51edf8ee.wav,5
51fc52e6.wav,5
524dea8d.wav,37
5283a183.wav,21
52aceab1.wav,13
53d5dfdf.wav,37
540dcb37.wav,33
544e7a47.wav,15
545574e6.wav,33
54a7a58f.wav,13
54c32b7a.wav,37
54f89ec3.wav,15
55040d8b.wav,28
557040c2.wav,10
55783841.wav,5
55a23759.wav,1
55b7d572.wav,29
55c288a5.wav,15
5604d72a.wav,7
5631d60b.wav,37
5666db3a.wav,26
56de1a6e.wav,21
58ba4d53.wav,32
59c0317c.wav,11
5a53e933.wav,37
5a55b3dd.wav,7
5a5f7fa1.wav,28
5a8ac874.wav,15
5a92008e.wav,7
5aa7d1d3.wav,37
5aabae55.wav,19
5abb8f6d.wav,10
5aff8db8.wav,15
5b980c61.wav,14
5bcdaa50.wav,15
5c581093.wav,21
5d246b14.wav,25
5d681247.wav,21
5d902b1c.wav,21
5db43d95.wav,28
5dd6e37d.wav,37
5dedf872.wav,21
5e7e75f7.wav,37
5e999857.wav,25
5ec49ef4.wav,19
5f383659.wav,8
602ca70a.wav,15
604f23cd.wav,40
6116eaa8.wav,29
6123a18d.wav,5
6159836f.wav,5
615bc8fb.wav,33
619d8d1e.wav,37
62189e25.wav,4
62532077.wav,21
62716369.wav,30
627e95db.wav,32
62ef41ab.wav,33
63043359.wav,35
63190691.wav,32
632fd5c9.wav,21
633a56ad.wav,28
639cd52b.wav,37
63b006f9.wav,24
63b95f33.wav,9
63b9e36a.wav,29
6412ee13.wav,21
6480dd54.wav,29
64b1e8c8.wav,11
64c61d9b.wav,21
6514d3d3.wav,21
655b5248.wav,29
65d7c8a6.wav,15
65f60c42.wav,37
6639d6c6.wav,32
66895845.wav,15
66af2f72.wav,19
66bcf27e.wav,29
66ccbc5f.wav,37
670ef10d.wav,10
674b6f0f.wav,35
67c69330.wav,19
67e4e043.wav,9
68b4facc.wav,15
68c57a43.wav,28
68d8b3fd.wav,22
68ddd963.wav,19
68ef495a.wav,32
69fbf109.wav,15
6a3bfead.wav,15
6a72696a.wav,10
6b03607b.wav,29
6b33850f.wav,8
6b6bdc93.wav,37
6c505bc8.wav,5
6c69e1c0.wav,33
6c84907a.wav,19
6c923faa.wav,15
6ce42228.wav,30
6d1e1e67.wav,37
6d4be757.wav,10
6d4fca1c.wav,22
6d9b63eb.wav,15
6e028fd5.wav,12
6e09d1f2.wav,26
6e139908.wav,26
6e78745c.wav,6
6eb60c13.wav,15
6f02c591.wav,1
6f049dbb.wav,18
6f8909e7.wav,28
6f95f6ee.wav,29
6fcb552a.wav,37
6fce4d13.wav,15
6ff3911e.wav,8
6ff78d91.wav,29
700f6042.wav,29
7016103a.wav,29
7096f946.wav,4
70b68ba0.wav,14
70c6e930.wav,37
70d942a5.wav,21
70f8cdfa.wav,21
70f8f833.wav,37
71880131.wav,8
7272509b.wav,33
73a8474b.wav,17
7451c631.wav,21
74580db9.wav,31
7573f583.wav,21
75916a91.wav,38
75e8a2af.wav,34
76177729.wav,10
768804d4.wav,6
7844453d.wav,9
78697428.wav,37
786f6efe.wav,21
78b8ab2e.wav,40
78cf7be3.wav,29
7941ec33.wav,40
79a8dbcc.wav,17
79cc9b98.wav,35
7a6d71fc.wav,35
7a871def.wav,0
7abd44d6.wav,21
7abe054d.wav,26
7b031e22.wav,3
7b27bd7b.wav,21
7b4d4b59.wav,37
7ba42f03.wav,32
7caea617.wav,10
7d264d04.wav,5
7d639c49.wav,9
7e3b2b71.wav,7
7e7c5843.wav,29
7e85a484.wav,29
7e956288.wav,21
7eab8be1.wav,34
7f28550a.wav,37
7f8acf3b.wav,37
7fa57f89.wav,37
7fd75c5b.wav,33
7ff85c01.wav,22
809ab667.wav,26
8186d966.wav,5
81db9098.wav,21
827d48f9.wav,17
82df2d57.wav,21
82ee1adc.wav,40
849d97d6.wav,29
84e9c4e0.wav,11
8536c75e.wav,28
856ef8d7.wav,29
85a9afc9.wav,33
85d825f1.wav,29
85db997c.wav,15
85dc51de.wav,15
85f0bac3.wav,22
85fd2b40.wav,7
868db11e.wav,29
86bb7902.wav,37
86f881f3.wav,29
87192927.wav,37
876fee0d.wav,28
879796a5.wav,29
87b9435b.wav,24
880c48fa.wav,38
88472317.wav,32
88928a07.wav,28
88e24910.wav,32
88e99f1c.wav,37
892505e9.wav,29
893427c3.wav,26
89c2111f.wav,29
89f33989.wav,7
8a3e5147.wav,7
8a739529.wav,33
8aaada9f.wav,7
8b563f92.wav,15
8bc4df93.wav,7
8bff2f37.wav,40
8c048e36.wav,26
8c1a31cf.wav,37
8c3697ba.wav,20
8d0d7231.wav,29
8d3fff7f.wav,26
8db20ce5.wav,20
8dd47439.wav,2
